sr_no,work_category,work,state,ida,honble_members_of_parliament,constituency,work_description,recommended_date,sanction_date,sanction_amount,work_status,work_id,amount
1704,Normal/Others,WS/MP18236/2024-2025/138957-Lighting of public spaces,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of semi high mast light near Pokhara crossroad and gate in village Iliya Block Shahabganj,05-Sep-2024,2024-12-02,243756,Physical Inspection,WS/MP18236/2024-2025/138957,243756.0
1705,Normal/Others,WS/MP18236/2024-2025/138958-Lighting of public spaces,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of semi high mast light at the crossroad near Kranti Maurya's house in village Saidupur Block Shahabganj,05-Sep-2024,2024-12-02,243756,Physical Inspection,WS/MP18236/2024-2025/138958,243756.0
1706,Normal/Others,WS/MP347/2024-2025/138959-Construction of rooms and halls in school and colleges,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri Suresh Kodikunnil,MAVELIKKARA(SC),"Construction of Open Air auditorium to Eswaravilasom UPS, Madanthacode in Kareepra Grama Panchayath",05-Sep-2024,2024-12-19,904595,Physical Inspection,WS/MP347/2024-2025/138959,904595.0
1707,Normal/Others,WS/MP347/2024-2025/138962-Construction of rooms and halls in school and colleges,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri Suresh Kodikunnil,MAVELIKKARA(SC),Class room at Govt.LPS Elikattoor including electrification in Piravanthoore Grama Panchayath (SCP),11-Sep-2024,2024-10-29,1550000,Work partially Completed,WS/MP347/2024-2025/138962,1550000.0
1708,Normal/Others,WS/MP18206/2024-2025/138971-Construction of rooms and halls in school and colleges,Uttar Pradesh,BANDA(DISTRICT MAGISTRATE BANDA_IDA),KRISHNA DEVI SHIVSHANKER PATEL,BANDA,Construction of rooms in  Captain R B singh public school majhiwan,05-Sep-2024,2024-11-16,999000,Vendor Identification,WS/MP18206/2024-2025/138971,999000.0
1709,Normal/Others,WS/MP18206/2024-2025/138972-Construction of rooms and halls in school and colleges,Uttar Pradesh,BANDA(DISTRICT MAGISTRATE BANDA_IDA),KRISHNA DEVI SHIVSHANKER PATEL,BANDA,Construction of hall in captain R B singh  public school majhiwan,05-Sep-2024,2024-11-16,999000,Vendor Identification,WS/MP18206/2024-2025/138972,999000.0
1710,Normal/Others,WS/MP761/2024-2025/138982-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of community hall near sree Bhaktha Anjaneya Swamy temple,05-Sep-2024,2025-01-06,400000,Physical Inspection,WS/MP761/2024-2025/138982,400000.0
1711,Normal/Others,WS/MP761/2024-2025/138983-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of Community hall near Anganwadi Building for Sr Citizens,05-Sep-2024,2025-01-06,300000,Physical Inspection,WS/MP761/2024-2025/138983,300000.0
1712,Normal/Others,WS/MP761/2024-2025/138984-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of community hall in Vishwabrahmana Wada,05-Sep-2024,2025-01-06,400000,Physical Inspection,WS/MP761/2024-2025/138984,400000.0
1713,Normal/Others,WS/MP761/2024-2025/138985-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Construction of Community hall near Abhayanjaneya Swamy temple in Laxmi Priya Nagar,05-Sep-2024,2025-01-06,400000,Physical Inspection,WS/MP761/2024-2025/138985,400000.0
