work_id,total_disbursed,payment_count,vendor_count,max_single_payment,min_single_payment,avg_payment,vendor_payment_ratio,largest_payment_ratio,vendor_count_zscore,vendor_count_outlier,max_single_payment_zscore,max_single_payment_outlier,total_disbursed_zscore,total_disbursed_outlier,log_total_disbursed,log_max_payment,log_avg_payment
WS/MP654/2025-2026/181116,198723.0,2,1,100000.0,98723.0,99361.5,0.5,0.5032130151014226,-0.15186309381776222,0,-0.55719012666638,0,-0.35668191183070586,0,12.199672206349145,11.51293546492023,11.506530057881369
WS/MP654/2025-2026/181117,198723.0,2,1,100000.0,98723.0,99361.5,0.5,0.5032130151014226,-0.15186309381776222,0,-0.55719012666638,0,-0.35668191183070586,0,12.199672206349145,11.51293546492023,11.506530057881369
WS/MP654/2025-2026/181581,1000000.0,2,1,500000.0,500000.0,500000.0,0.5,0.5,-0.15186309381776222,0,0.12022730328821984,0,0.6225599927155062,0,13.815511557963774,13.122365377402328,13.122365377402328
WS/MP654/2025-2026/184194,198723.0,2,1,100000.0,98723.0,99361.5,0.5,0.5032130151014226,-0.15186309381776222,0,-0.55719012666638,0,-0.35668191183070586,0,12.199672206349145,11.51293546492023,11.506530057881369
WS/MP654/2025-2026/187333,500000.0,1,1,500000.0,500000.0,500000.0,1.0,1.0,-0.15186309381776222,0,0.12022730328821984,0,0.011509192214423525,0,13.122365377402328,13.122365377402328,13.122365377402328
WS/MP654/2025-2026/187334,498100.0,2,1,250000.0,248100.0,249050.0,0.5,0.5019072475406545,-0.15186309381776222,0,-0.3031585904334051,0,0.00918719917251941,0,13.11855814668835,12.429220196836383,12.42541297375135
WS/MP654/2025-2026/197471,198723.0,1,1,198723.0,198723.0,198723.0,1.0,1.0,-0.15186309381776222,0,-0.38999842432286014,0,-0.35668191183070586,0,12.199672206349145,12.199672206349145,12.199672206349145
WS/MP654/2025-2026/198006,999700.0,2,1,500000.0,499700.0,499850.0,0.5,0.500150045013504,-0.15186309381776222,0,0.12022730328821984,0,0.6221933622352056,0,13.815211513254862,13.122365377402328,13.122065332993506
WS/MP654/2025-2026/198007,999900.0,2,1,500000.0,499900.0,499950.0,0.5,0.5000500050005,-0.15186309381776222,0,0.12022730328821984,0,0.622437782555406,0,13.81541155306345,13.122365377402328,13.122265372602016
WS/MP654/2025-2026/199793,1499600.0,2,1,750000.0,749600.0,749800.0,0.5,0.5001333688983729,-0.15186309381776222,0,0.5436131970098448,0,1.233121952576188,0,14.220709630688164,13.527829818844937,13.527563116972043
