sr_no,work_category,work,state,ida,work_description,honble_members_of_parliament,constituency,image,completion_date,amount_disbursed,work_id,amount
6530,Normal/Others,WS/MP18099/2025-2026/175748-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Madhya Pradesh,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),construction of Cremation,ALOK SHARMA,BHOPAL,Images,2026-08-04,498098,WS/MP18099/2025-2026/175748,498098.0
6531,Normal/Others,WS/MP18099/2025-2026/175746-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Madhya Pradesh,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),construction of Cremation,ALOK SHARMA,BHOPAL,Images,2026-08-04,498098,WS/MP18099/2025-2026/175746,498098.0
6532,Normal/Others,WS/MP18099/2025-2026/175747-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Madhya Pradesh,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),construction of Cremation,ALOK SHARMA,BHOPAL,Images,2026-08-04,498098,WS/MP18099/2025-2026/175747,498098.0
6533,Normal/Others,WS/MP18099/2025-2026/175752-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Madhya Pradesh,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),construction of Cremation,ALOK SHARMA,BHOPAL,Images,2026-08-04,498098,WS/MP18099/2025-2026/175752,498098.0
6534,Normal/Others,WS/MP18099/2025-2026/175753-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Madhya Pradesh,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),construction of Cremation,ALOK SHARMA,BHOPAL,Images,2026-08-04,498098,WS/MP18099/2025-2026/175753,498098.0
6535,Normal/Others,WS/MP18251/2024-2025/155505-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALLATION OF 1 NO. OF SOLAR STREET LIGHT (WITH 6 MTR. G.I. POLE & 1 NO. 20 WATT LED BULB) NEAR PASCHIM BAMANGACHI ROY PARA,SAYANI GHOSH,JADAVPUR,Images,2025-08-25,34259,WS/MP18251/2024-2025/155505,34259.0
6536,Normal/Others,WS/MP18251/2024-2025/155504-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALLATION OF 1 NO. OF SOLAR STREET LIGHT (WITH 6 MTR. G.I. POLE & 1 NO. 20 WATT LED BULB) NEAR PASCHIM BAMANGACHI MONDAL PARA,SAYANI GHOSH,JADAVPUR,Images,2025-08-25,34259,WS/MP18251/2024-2025/155504,34259.0
6537,Normal/Others,WS/MP18251/2024-2025/155503-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALLATION OF 1 NO. OF SOLAR STREET LIGHT (WITH 6 MTR. G.I. POLE & 1 NO. 20 WATT LED BULB) NEAR KAMLAT BARA THAKURTALA,SAYANI GHOSH,JADAVPUR,Images,2025-08-25,34259,WS/MP18251/2024-2025/155503,34259.0
6538,Normal/Others,WS/MP18251/2024-2025/155502-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALLATION OF 1 NO. OF SOLAR STREET LIGHT (WITH 6 MTR. G.I. POLE & 1 NO. 20 WATT LED BULB) NEAR KAMLAT FP SCHOOL,SAYANI GHOSH,JADAVPUR,Images,2025-08-25,34265,WS/MP18251/2024-2025/155502,34265.0
6539,Normal/Others,WS/MP18251/2024-2025/155501-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALLATION OF 1 NO. OF SOLAR STREET LIGHT (WITH 6 MTR. G.I. POLE & 1 NO. 20 WATT LED BULB) NEAR BIBIRCHAK KADAMTALA,SAYANI GHOSH,JADAVPUR,Images,2025-08-25,34265,WS/MP18251/2024-2025/155501,34265.0
6540,Normal/Others,WS/MP18251/2024-2025/155500-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALLATION OF 1 NO. OF SOLAR STREET LIGHT (WITH 6 MTR. G.I. POLE & 1 NO. 20 WATT LED BULB) NEAR BIBIRCHAK NILMANI PRAMANIK'S HOUSE,SAYANI GHOSH,JADAVPUR,Images,2025-08-25,34265,WS/MP18251/2024-2025/155500,34265.0
6541,Normal/Others,WS/MP18251/2024-2025/155499-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALLATION OF 1 NO. OF SOLAR STREET LIGHT (WITH 6 MTR. G.I. POLE & 1 NO. 20 WATT LED BULB) NEAR BARULI BERE PARA,SAYANI GHOSH,JADAVPUR,Images,2025-08-25,34265,WS/MP18251/2024-2025/155499,34265.0
6542,Repair and Renovation,"WS/MP423/2024-2025/137573-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Repairing of CC Road at Das Para from H/O Batul Mistry to H/O Tapan Rana at Ward No.8 (95 mtr.),Shri Abhishek Banerjee,DIAMOND HARBOUR,Images,2025-06-04,147843,WS/MP423/2024-2025/137573,147843.0
