"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"15887","Madhya Pradesh","Construction of community centers and community halls","WS/MP650/2025-2026/216024","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","03-Feb-2026","Laxmi Traders","Payment Success","209998"
"15888","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP650/2025-2026/217049","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","16-Mar-2026","Laxmi Traders","Payment Success","49998"
"15889","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP650/2025-2026/217049","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","16-Mar-2026","Laxmi Traders","Payment Success","49999"
"15890","Punjab","Providing drains and gutters for public drainage","WS/MP18155/2025-2026/249578","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","22-Jan-2026","Nirmal Singh","Payment Success","18000"
"15891","Haryana","Construction of community centers and community halls","WS/MP18067/2025-2026/214182","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","12-Jan-2026","Shree Hari Traders","Payment Success","49980"
"15892","Haryana","Construction of community centers and community halls","WS/MP18067/2025-2026/214182","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","12-Jan-2026","Shree Hari Traders","Payment Success","49980"
"15893","Haryana","Construction of community centers and community halls","WS/MP18067/2025-2026/214182","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","12-Jan-2026","Shree Hari Traders","Payment Success","49291"
"15894","Haryana","Construction of community centers and community halls","WS/MP18067/2025-2026/214182","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","12-Jan-2026","Shree Hari Traders","Payment Success","49980"
"15895","Haryana","Construction of community centers and community halls","WS/MP18067/2025-2026/214182","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","12-Jan-2026","Shree Hari Traders","Payment Success","49999"
"15896","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2025-2026/231205","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","30-Jun-2026","Dev iron store","Payment Success","15949"
"15897","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2025-2026/231205","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","30-Jun-2026","Dev iron store","Payment Success","53590"
"15898","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2025-2026/231205","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","30-Jun-2026","Dev iron store","Payment Success","3500"
"15899","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2025-2026/231205","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","20-Jan-2026","Dev iron store","Payment Success","48198"
"15900","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2025-2026/231205","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","20-Jan-2026","Dev iron store","Payment Success","17500"
"15901","Punjab","Construction of rooms and halls in school and colleges","WS/MP381/2025-2026/208842","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","05-Feb-2026","VIRK CEMENT STORE","Payment Success","40320"
"15902","Punjab","Construction of rooms and halls in school and colleges","WS/MP381/2025-2026/208842","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","05-Feb-2026","VIRK CEMENT STORE","Payment Success","32050"
"15903","Punjab","Construction of rooms and halls in school and colleges","WS/MP381/2025-2026/208842","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","08-Mar-2026","VIRK CEMENT STORE","Payment Success","35200"
"15904","Punjab","Construction of rooms and halls in school and colleges","WS/MP381/2025-2026/208842","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","08-Mar-2026","LAL JI CEMENT PRODUCTS","Payment Success","80630"
"15905","Punjab","Construction of rooms and halls in school and colleges","WS/MP381/2025-2026/208842","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","05-Feb-2026","LAL JI CEMENT PRODUCTS","Payment Success","47200"
"15906","Punjab","Construction of rooms and halls in school and colleges","WS/MP381/2025-2026/208842","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","05-Feb-2026","LAL JI CEMENT PRODUCTS","Payment Success","47200"
"15907","Punjab","Construction of rooms and halls in school and colleges","WS/MP381/2025-2026/208842","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","05-Feb-2026","LAL JI CEMENT PRODUCTS","Payment Success","47200"
"15908","Punjab","Construction of rooms and halls in school and colleges","WS/MP381/2025-2026/206105","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","24-Mar-2026","JAGTAR SINGH SO GURDEEP SINGH","Payment Success","2500"
"15909","Punjab","Construction of rooms and halls in school and colleges","WS/MP381/2025-2026/206105","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","24-Mar-2026","BATH AND BHINDER TILE FACTORY","Payment Success","134874"
