"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"14123","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203939","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Feb-2026","Sai Enterprises","Payment Success","137520"
"14124","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/203937","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","02-Feb-2026","Husner Machinery Store","Payment Success","21489"
"14125","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/203937","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","02-Feb-2026","Husner Machinery Store","Payment Success","16500"
"14126","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/203934","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Feb-2026","Husner Machinery Store","Payment Success","134760"
"14127","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/203934","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Feb-2026","MS Satkar BKO","Payment Success","1983"
"14128","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/203936","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","05-May-2026","MS Satkar BKO","Payment Success","23600"
"14129","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203939","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Feb-2026","MS Satkar BKO","Payment Success","4548"
"14130","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/203937","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","02-Feb-2026","Jaswinder Khan","Payment Success","15660"
"14131","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/203934","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Feb-2026","Jaswinder Khan","Payment Success","59905"
"14132","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/234865","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","03-Feb-2026","Gurmail Singh","Payment Success","225746"
"14133","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/234865","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","27-Apr-2026","Gurmail Singh","Payment Success","49360"
"14134","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/176241","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Feb-2026","Mahesh chanrd melkani","Payment Success","17850"
"14135","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/176241","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Feb-2026","Krishna Melkani","Payment Success","17850"
"14136","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/176241","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Feb-2026","Laxmi Devi","Payment Success","11844"
"14137","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/203934","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Feb-2026","Rajvinder Singh","Payment Success","46235"
"14138","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/203937","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","02-Feb-2026","Rajvinder Singh","Payment Success","511"
"14139","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/203936","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","05-May-2026","Rajvinder Singh","Payment Success","35667"
"14140","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/176241","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Feb-2026","Khajan chandra Melkani","Payment Success","15225"
"14141","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/176241","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Feb-2026","Sunil Kumar","Payment Success","12600"
"14142","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/176241","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Feb-2026","Krasni Devi","Payment Success","12600"
"14143","Odisha","Construction of community centers and community halls","WS/MP18143/2025-2026/208350","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","02-Feb-2026","SUDHIR KUMAR MOHANTY","Payment Success","161274"
"14144","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/176241","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Feb-2026","Rajendra Kumar","Payment Success","12600"
"14145","Odisha","Construction of community centers and community halls","WS/MP18143/2025-2026/208350","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","02-Feb-2026","DIBYA PRASAD NAYAK SUPPLIER","Payment Success","87293"
"14146","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/215126","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","19-May-2026","SURENDRA TILES UDHYOG","Payment Success","239476"
"14147","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203939","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Feb-2026","GARG CEMENT STORE","Payment Success","57610"
"14148","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203939","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Feb-2026","GAGANDEEP Singh","Payment Success","296012"
"14149","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203939","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Feb-2026","National cement  store","Payment Success","244949"
"14150","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203939","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Feb-2026","RAMNIVAS","Payment Success","249361"
"14151","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/203935","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","05-May-2026","RAMNIVAS","Payment Success","49075"
"14152","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18276/2025-2026/184992","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","JASHUBHAI BHILUBHAI RATHVA","CHHOTA UDAIPUR(ST)","02-Feb-2026","Alhadpura Gram Panchayat","Payment Success","300000"
"14153","Rajasthan","Forest conservation infrastructure","WS/MP728/2025-2026/226710","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","30-Jun-2026","Deepak Trading","Payment Success","1424235"
"14154","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","VIJAYPAL SINGH","Payment Success","11700"
"14155","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","MAMRAJ PANWAR","Payment Success","3705"
"14156","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP584/2025-2026/238489","MORBI(District collector Morbi_IDA)","Vinod Chavda","KACHCHH(SC)","02-Feb-2026","DERALA GRAMPANCHAYAT","Payment Success","500000"
"14157","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","SUMER KANWAR","Payment Success","3705"
"14158","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","SUMER KANWAR","Payment Success","570"
"14159","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","JAYVARDHAN SINGH","Payment Success","11700"
"14160","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","JAYVARDHAN SINGH","Payment Success","11700"
"14161","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2025-2026/133565","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","06-Feb-2026","GRAM PANCHAYAT SIMALIYA KHURD","Payment Success","250000"
"14162","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","NORAT MAL","Payment Success","11700"
"14163","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","SANTOSH KANWAR","Payment Success","3705"
"14164","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","UMMED SINGH","Payment Success","11700"
"14165","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","AJIT KUMAR","Payment Success","11700"
"14166","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","RAMAVTAR","Payment Success","11700"
"14167","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","GOVIND RAM","Payment Success","11700"
"14168","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","GOVIND RAM","Payment Success","11700"
"14169","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","ASHOK KUMAR","Payment Success","11700"
"14170","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","06-May-2026","ASHOK KUMAR","Payment Success","11700"
"14171","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","JITENDRA SINGH","Payment Success","11700"
"14172","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","JITENDRA SINGH","Payment Success","11700"
"14173","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","SANNU KANWAR","Payment Success","3705"
"14174","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","SANNU KANWAR","Payment Success","3705"
"14175","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","SIRU KANWAR","Payment Success","3705"
"14176","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","SIRU KANWAR","Payment Success","3705"
"14177","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","LILADHAR","Payment Success","11700"
"14178","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","ANITA","Payment Success","3705"
"14179","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","TARAMANI","Payment Success","3705"
"14180","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","TARAMANI","Payment Success","3705"
"14181","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","OMI DEVI","Payment Success","3705"
"14182","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","OMI DEVI","Payment Success","3705"
"14183","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","DROPADI","Payment Success","3705"
"14184","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP728/2025-2026/192002","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","25-Feb-2026","KAMLESH KANWAR","Payment Success","3705"
"14185","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2024-2025/164765","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","03-Mar-2026","shree vandaliya gram panchayat","Payment Success","300000"
"14186","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18321/2025-2026/228410","ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","09-Feb-2026","VANKANEDA GROUP GRAM PANCHAYAT","Payment Success","400000"
"14187","Gujarat","Installing tube-wells and borewells","WS/MP18321/2025-2026/257044","ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","13-Aug-2026","VANKANEDA GROUP GRAM PANCHAYAT","Payment Success","100000"
"14188","Gujarat","Installing tube-wells and borewells","WS/MP18321/2025-2026/257045","ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","06-Aug-2026","VANKANEDA GROUP GRAM PANCHAYAT","Payment Success","100000"
"14189","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18123/2025-2026/241950","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","CHHATRAPATI SHAHU SHAHAJI","KOLHAPUR","18-Feb-2026","Kshatriya Constructions","Payment Success","1497956"
"14190","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18123/2025-2026/226864","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","CHHATRAPATI SHAHU SHAHAJI","KOLHAPUR","18-Feb-2026","Kshatriya Constructions","Payment Success","1488133"
"14191","Punjab","Setting up of kitchen and pantries","WS/MP18158/2025-2026/226882","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","02-Feb-2026","SUKHWINDER SINGH","Payment Success","18480"
